,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner_team,goal_difference
23971,2001-08-15,Estonia,Cyprus,2,2,FIFA World Cup qualification,Tallinn,Estonia,False,Draw,0
23972,2001-08-15,Finland,Belgium,4,1,Friendly,Helsinki,Finland,False,Finland,3
23973,2001-08-15,France,Denmark,1,0,Friendly,Nantes,France,False,France,1
23974,2001-08-15,Hungary,Germany,2,5,Friendly,Budapest,Hungary,False,Germany,3
23975,2001-08-15,Iceland,Poland,1,1,Friendly,Reykjavík,Iceland,False,Draw,0
23976,2001-08-15,Ireland,Croatia,2,2,Friendly,Dublin,Ireland,False,Draw,0
23977,2001-08-15,Japan,Australia,3,0,Friendly,Fukuroi,Japan,False,Japan,3
23978,2001-08-15,Latvia,Ukraine,0,1,Friendly,Riga,Latvia,False,Ukraine,1
23979,2001-08-15,Lithuania,Israel,2,3,Friendly,Kaunas,Lithuania,False,Israel,1
23980,2001-08-15,Luxembourg,Georgia,0,3,Friendly,Mondercange,Luxembourg,False,Georgia,3
23981,2001-08-15,Norway,Turkey,1,1,Friendly,Oslo,Norway,False,Draw,0
23982,2001-08-15,Portugal,Moldova,3,0,Friendly,Faro,Portugal,False,Portugal,3
23983,2001-08-15,Russia,Greece,0,0,Friendly,Moscow,Russia,False,Draw,0
23984,2001-08-15,Serbia,Faroe Islands,2,0,FIFA World Cup qualification,Belgrade,Yugoslavia,True,Serbia,2
23985,2001-08-15,Slovakia,Iran,3,4,Friendly,Bratislava,Slovakia,False,Iran,1
23986,2001-08-15,Slovenia,Romania,2,2,Friendly,Ljubljana,Slovenia,False,Draw,0
23987,2001-08-15,Sweden,South Africa,3,0,Friendly,Solna,Sweden,False,Sweden,3
23988,2001-08-16,Colombia,Peru,0,1,FIFA World Cup qualification,Bogotá,Colombia,False,Peru,1
23989,2001-08-16,Qatar,Oman,0,0,FIFA World Cup qualification,Doha,Qatar,False,Draw,0
23990,2001-08-17,Iraq,Thailand,4,0,FIFA World Cup qualification,Baghdad,Iraq,False,Iraq,4
23991,2001-08-17,Saudi Arabia,Bahrain,1,1,FIFA World Cup qualification,Riyadh,Saudi Arabia,False,Draw,0
