,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner_team,goal_difference
1159,1929-04-14,Spain,France,8,1,Friendly,Zaragoza,Spain,False,Spain,7
1160,1929-04-14,Switzerland,Hungary,4,5,International Cup,Berne,Switzerland,False,Hungary,1
1161,1929-04-20,Barbados,Trinidad and Tobago,3,0,Friendly,Bridgetown,Barbados,False,Barbados,3
1162,1929-04-21,Romania,Bulgaria,3,0,Friendly,Bucharest,Romania,False,Romania,3
1163,1929-04-22,Barbados,Trinidad and Tobago,2,0,Friendly,Bridgetown,Barbados,False,Barbados,2
1164,1929-04-24,Barbados,Trinidad and Tobago,2,1,Friendly,Bridgetown,Barbados,False,Barbados,1
1165,1929-04-28,Italy,Germany,1,2,Friendly,Turin,Italy,False,Germany,1
1166,1929-04-30,Ireland,Belgium,4,0,Friendly,Dublin,Irish Free State,False,Ireland,4
1167,1929-05-01,El Salvador,Nicaragua,9,0,Friendly,San Salvador,El Salvador,False,El Salvador,9
1168,1929-05-05,Austria,Hungary,2,2,Friendly,Vienna,Austria,False,Draw,0
1169,1929-05-05,Belgium,Netherlands,3,1,Friendly,Antwerp,Belgium,False,Belgium,2
1170,1929-05-05,Switzerland,Czechoslovakia,1,4,International Cup,Lausanne,Switzerland,False,Czechoslovakia,3
1171,1929-05-09,France,England,1,4,Friendly,Colombes,France,False,England,3
1172,1929-05-10,Romania,Yugoslavia,2,3,Friendly,Bucharest,Romania,False,Yugoslavia,1
1173,1929-05-11,Belgium,England,1,5,Friendly,Forest,Belgium,False,England,4
1174,1929-05-15,Kenya,Uganda,3,5,Friendly,Nairobi,Kenya,False,Uganda,2
1175,1929-05-15,Spain,England,4,3,Friendly,Madrid,Spain,False,Spain,1
1176,1929-05-19,France,Yugoslavia,1,3,Friendly,Colombes,France,False,Yugoslavia,2
1177,1929-05-26,Belgium,France,4,1,Friendly,Liège,Belgium,False,Belgium,3
1178,1929-05-26,Norway,Scotland,3,7,Friendly,Bergen,Norway,False,Scotland,4
1179,1929-06-01,Germany,Scotland,1,1,Friendly,Berlin,Germany,False,Draw,0
1180,1929-06-04,Netherlands,Scotland,0,2,Friendly,Amsterdam,Netherlands,False,Scotland,2
1181,1929-06-09,Sweden,Netherlands,6,2,Friendly,Stockholm,Sweden,False,Sweden,4
1182,1929-06-12,Norway,Netherlands,4,4,Friendly,Oslo,Norway,False,Draw,0
1183,1929-06-14,Sweden,Finland,3,1,Nordic Championship,Stockholm,Sweden,False,Sweden,2
1184,1929-06-16,Argentina,Uruguay,2,0,Friendly,Buenos Aires,Argentina,False,Argentina,2
1185,1929-06-16,Sweden,Denmark,3,2,Nordic Championship,Gothenburg,Sweden,False,Sweden,1
1186,1929-06-16,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,False,Draw,0
1187,1929-06-18,Norway,Finland,4,0,Nordic Championship,Oslo,Norway,False,Norway,4
1188,1929-06-23,Denmark,Norway,2,5,Nordic Championship,Copenhagen,Denmark,False,Norway,3
1189,1929-06-23,Germany,Sweden,3,0,Friendly,Cologne,Germany,False,Germany,3
1190,1929-06-28,Yugoslavia,Czechoslovakia,3,3,Friendly,Zagreb,Yugoslavia,False,Draw,0
1191,1929-06-30,Bulgaria,Greece,1,1,Friendly,Sofia,Bulgaria,False,Draw,0
1192,1929-07-07,Sweden,Estonia,4,1,Friendly,Landskrona,Sweden,False,Sweden,3
1193,1929-07-25,Estonia,Finland,1,1,Friendly,Tallinn,Estonia,False,Draw,0
1194,1929-07-28,Sweden,Latvia,10,0,Friendly,Malmö,Sweden,False,Sweden,10
1195,1929-08-14,Latvia,Lithuania,3,1,Baltic Cup,Riga,Latvia,False,Latvia,2
1196,1929-08-15,Estonia,Lithuania,5,2,Baltic Cup,Riga,Latvia,True,Estonia,3
1197,1929-08-16,Latvia,Estonia,2,2,Baltic Cup,Riga,Latvia,False,Draw,0
1198,1929-08-27,Finland,Estonia,2,1,Friendly,Helsinki,Finland,False,Finland,1
1199,1929-09-08,Czechoslovakia,Hungary,1,1,International Cup,Prague,Czechoslovakia,False,Draw,0
1200,1929-09-15,Austria,Czechoslovakia,2,1,Friendly,Vienna,Austria,False,Austria,1
1201,1929-09-15,Bulgaria,Romania,2,3,Friendly,Sofia,Bulgaria,False,Romania,1
1202,1929-09-15,Finland,Latvia,3,1,Friendly,Helsinki,Finland,False,Finland,2
1203,1929-09-18,Estonia,Latvia,4,1,Friendly,Tallinn,Estonia,False,Estonia,3
1204,1929-09-20,Uruguay,Argentina,2,1,Copa Newton,Montevideo,Uruguay,False,Uruguay,1
1205,1929-09-28,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False,Draw,0
1206,1929-09-29,Norway,Sweden,2,1,Nordic Championship,Oslo,Norway,False,Norway,1
1207,1929-10-06,Czechoslovakia,Switzerland,5,0,International Cup,Prague,Czechoslovakia,False,Czechoslovakia,5
1208,1929-10-06,Hungary,Austria,2,1,Friendly,Budapest,Hungary,False,Hungary,1
1209,1929-10-06,Romania,Yugoslavia,2,1,Balkan Cup,Bucharest,Romania,False,Romania,1
1210,1929-10-13,Denmark,Finland,8,0,Nordic Championship,Copenhagen,Denmark,False,Denmark,8
1211,1929-10-19,Northern Ireland,England,0,3,British Championship,Belfast,Northern Ireland,False,England,3
1212,1929-10-20,Germany,Finland,4,0,Friendly,Altona,Germany,False,Germany,4
1213,1929-10-26,Trinidad and Tobago,Guyana,0,0,Friendly,Port of Spain,Trinidad and Tobago,False,Draw,0
1214,1929-10-26,Wales,Scotland,2,4,British Championship,Cardiff,Wales,False,Scotland,2
1215,1929-10-27,Switzerland,Austria,1,3,International Cup,Berne,Switzerland,False,Austria,2
1216,1929-10-28,Czechoslovakia,Yugoslavia,4,3,Friendly,Prague,Czechoslovakia,False,Czechoslovakia,1
1217,1929-11-01,Paraguay,Uruguay,3,0,Copa América,Buenos Aires,Argentina,True,Paraguay,3
1218,1929-11-02,Trinidad and Tobago,Guyana,0,1,Friendly,Port of Spain,Trinidad and Tobago,False,Guyana,1
1219,1929-11-03,Argentina,Peru,3,0,Copa América,Buenos Aires,Argentina,False,Argentina,3
1220,1929-11-03,Netherlands,Norway,1,4,Friendly,Amsterdam,Netherlands,False,Norway,3
1221,1929-11-03,Trinidad and Tobago,Guyana,3,1,Friendly,Port of Spain,Trinidad and Tobago,False,Trinidad and Tobago,2
1222,1929-11-10,Argentina,Paraguay,4,1,Copa América,Buenos Aires,Argentina,False,Argentina,3
1223,1929-11-11,Peru,Uruguay,1,4,Copa América,Buenos Aires,Argentina,True,Uruguay,3
1224,1929-11-11,Trinidad and Tobago,Guyana,1,1,Friendly,Port of Spain,Trinidad and Tobago,False,Draw,0
1225,1929-11-12,Trinidad and Tobago,Guyana,0,1,Friendly,Port of Spain,Trinidad and Tobago,False,Guyana,1
1226,1929-11-16,Paraguay,Peru,5,0,Copa América,Avellaneda,Argentina,True,Paraguay,5
1227,1929-11-17,Argentina,Uruguay,2,0,Copa América,Buenos Aires,Argentina,False,Argentina,2
1228,1929-11-20,England,Wales,6,0,British Championship,London,England,False,England,6
1229,1929-12-01,Italy,Portugal,6,1,Friendly,Milan,Italy,False,Italy,5
1230,1930-01-01,Spain,Czechoslovakia,1,0,Friendly,Barcelona,Spain,False,Spain,1
1231,1930-01-12,Portugal,Czechoslovakia,1,0,Friendly,Lisbon,Portugal,False,Portugal,1
1232,1930-01-26,Greece,Yugoslavia,2,1,Balkan Cup,Athens,Greece,False,Greece,1
1233,1930-02-01,Northern Ireland,Wales,7,0,British Championship,Belfast,Northern Ireland,False,Northern Ireland,7
1234,1930-02-09,Italy,Switzerland,4,2,Friendly,Rome,Italy,False,Italy,2
1235,1930-02-16,Kenya,Uganda,0,0,Friendly,Nairobi,Kenya,False,Draw,0
1236,1930-02-22,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False,Scotland,2
1237,1930-02-23,Portugal,France,2,0,Friendly,Porto,Portugal,False,Portugal,2
1238,1930-03-02,Germany,Italy,0,2,Friendly,Frankfurt am Main,Germany,False,Italy,2
1239,1930-03-23,Czechoslovakia,Austria,2,2,Friendly,Prague,Czechoslovakia,False,Draw,0
1240,1930-03-23,France,Switzerland,3,3,Friendly,Colombes,France,False,Draw,0
1241,1930-04-05,England,Scotland,5,2,British Championship,London,England,False,England,3
1242,1930-04-06,Netherlands,Italy,1,1,Friendly,Amsterdam,Netherlands,False,Draw,0
1243,1930-04-13,France,Belgium,1,6,Friendly,Colombes,France,False,Belgium,5
1244,1930-04-13,Switzerland,Hungary,2,2,Friendly,Basel,Switzerland,False,Draw,0
1245,1930-04-13,Yugoslavia,Bulgaria,6,1,Friendly,Belgrade,Yugoslavia,False,Yugoslavia,5
1246,1930-04-20,Curaçao,Aruba,2,1,Friendly,Willemstad,Curaçao,False,Curaçao,1
1247,1930-05-01,Czechoslovakia,Hungary,1,1,Friendly,Prague,Czechoslovakia,False,Draw,0
1248,1930-05-01,Uganda,Kenya,5,0,Friendly,Kampala,Uganda,False,Uganda,5
1249,1930-05-04,Netherlands,Belgium,2,2,Friendly,Amsterdam,Netherlands,False,Draw,0
1250,1930-05-04,Switzerland,Germany,0,5,Friendly,Zürich,Switzerland,False,Germany,5
1251,1930-05-04,Yugoslavia,Romania,2,1,Friendly,Belgrade,Yugoslavia,False,Yugoslavia,1
1252,1930-05-10,Germany,England,3,3,Friendly,Berlin,Germany,False,Draw,0
1253,1930-05-11,Belgium,Ireland,1,3,Friendly,Brussels,Belgium,False,Ireland,2
1254,1930-05-11,France,Czechoslovakia,2,3,Friendly,Colombes,France,False,Czechoslovakia,1
1255,1930-05-11,Hungary,Italy,0,5,International Cup,Budapest,Hungary,False,Italy,5
1256,1930-05-14,Austria,England,0,0,Friendly,Vienna,Austria,False,Draw,0
1257,1930-05-18,Belgium,Netherlands,3,1,Friendly,Antwerp,Belgium,False,Belgium,2
1258,1930-05-18,France,Scotland,0,2,Friendly,Colombes,France,False,Scotland,2
1259,1930-05-25,Argentina,Uruguay,1,1,Copa Newton,Buenos Aires,Argentina,False,Draw,0
1260,1930-05-25,Belgium,France,1,2,Friendly,Liège,Belgium,False,France,1
1261,1930-05-25,Romania,Greece,8,1,Balkan Cup,Bucharest,Romania,False,Romania,7
1262,1930-05-27,China,Philippines,5,0,Friendly,Tokyo,Japan,True,China,5
1263,1930-05-29,Japan,China,3,3,Friendly,Tokyo,Japan,False,Draw,0
1264,1930-06-01,Hungary,Austria,2,1,Friendly,Budapest,Hungary,False,Hungary,1
1265,1930-06-01,Norway,Finland,6,2,Nordic Championship,Oslo,Norway,False,Norway,4
1266,1930-06-08,Belgium,Portugal,2,1,Friendly,Antwerp,Belgium,False,Belgium,1
1267,1930-06-08,Hungary,Netherlands,6,2,Friendly,Budapest,Hungary,False,Hungary,4
1268,1930-06-14,Czechoslovakia,Spain,2,0,Friendly,Prague,Czechoslovakia,False,Czechoslovakia,2
1269,1930-06-15,Bulgaria,Yugoslavia,2,2,Friendly,Sofia,Bulgaria,False,Draw,0
1270,1930-06-15,Sweden,Switzerland,1,0,Friendly,Stockholm,Sweden,False,Sweden,1
1271,1930-06-16,Finland,Denmark,1,6,Nordic Championship,Helsinki,Finland,False,Denmark,5
1272,1930-06-19,Norway,Switzerland,3,0,Friendly,Oslo,Norway,False,Norway,3
1273,1930-06-22,Denmark,Sweden,6,1,Nordic Championship,Copenhagen,Denmark,False,Denmark,5
1274,1930-06-22,Italy,Spain,2,3,Friendly,Bologna,Italy,False,Spain,1
1275,1930-06-27,Estonia,Latvia,1,1,Friendly,Tallinn,Estonia,False,Draw,0
1276,1930-07-06,Sweden,Norway,6,3,Nordic Championship,Stockholm,Sweden,False,Sweden,3
1277,1930-07-13,Belgium,USA,0,3,FIFA World Cup,Montevideo,Uruguay,True,USA,3
1278,1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,France,3
1279,1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,Yugoslavia,1
1280,1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,Romania,2
1281,1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,Argentina,1
1282,1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True,Chile,3
1283,1930-07-17,Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,True,Yugoslavia,4
1284,1930-07-17,Paraguay,USA,0,3,FIFA World Cup,Montevideo,Uruguay,True,USA,3
1285,1930-07-18,Estonia,Sweden,1,5,Friendly,Tallinn,Estonia,False,Sweden,4
1286,1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,False,Uruguay,1
1287,1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True,Argentina,3
1288,1930-07-19,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,Chile,1
1289,1930-07-20,Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,True,Paraguay,1
1290,1930-07-20,Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,True,Brazil,4
1291,1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,False,Uruguay,4
1292,1930-07-22,Argentina,Chile,3,1,FIFA World Cup,Montevideo,Uruguay,True,Argentina,2
1293,1930-07-22,Latvia,Sweden,0,5,Friendly,Riga,Latvia,False,Sweden,5
1294,1930-07-26,Argentina,USA,6,1,FIFA World Cup,Montevideo,Uruguay,True,Argentina,5
1295,1930-07-27,Uruguay,Yugoslavia,6,1,FIFA World Cup,Montevideo,Uruguay,False,Uruguay,5
1296,1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,False,Uruguay,2
1297,1930-08-01,Brazil,France,3,2,Friendly,Rio de Janeiro,Brazil,False,Brazil,1
1298,1930-08-03,Argentina,Yugoslavia,3,1,Friendly,Buenos Aires,Argentina,False,Argentina,2
1299,1930-08-04,Latvia,Finland,3,0,Friendly,Riga,Latvia,False,Latvia,3
1300,1930-08-06,Estonia,Finland,4,0,Friendly,Tallinn,Estonia,False,Estonia,4
1301,1930-08-10,Brazil,Yugoslavia,4,1,Friendly,Rio de Janeiro,Brazil,False,Brazil,3
1302,1930-08-15,Lithuania,Estonia,2,1,Baltic Cup,Kaunas,Lithuania,False,Lithuania,1
1303,1930-08-16,Estonia,Latvia,2,3,Baltic Cup,Kaunas,Lithuania,True,Latvia,1
1304,1930-08-17,Brazil,USA,4,3,Friendly,Rio de Janeiro,Brazil,False,Brazil,1
1305,1930-08-17,Lithuania,Latvia,3,3,Baltic Cup,Kaunas,Lithuania,False,Draw,0
1306,1930-09-07,Denmark,Germany,6,3,Friendly,Copenhagen,Denmark,False,Denmark,3
1307,1930-09-21,Austria,Hungary,2,3,Friendly,Vienna,Austria,False,Hungary,1
1308,1930-09-21,Belgium,Czechoslovakia,2,3,Friendly,Antwerp,Belgium,False,Czechoslovakia,1
1309,1930-09-21,Norway,Denmark,1,0,Nordic Championship,Oslo,Norway,False,Norway,1
1310,1930-09-28,Belgium,Sweden,2,2,Friendly,Liège,Belgium,False,Draw,0
1311,1930-09-28,Finland,Sweden,4,4,Nordic Championship,Helsinki,Finland,False,Draw,0
1312,1930-09-28,Germany,Hungary,5,3,Friendly,Dresden,Germany,False,Germany,2
1313,1930-09-28,Sweden,Poland,0,3,Friendly,Stockholm,Sweden,False,Poland,3
1314,1930-10-12,Bulgaria,Romania,5,3,Balkan Cup,Sofia,Bulgaria,False,Bulgaria,2
1315,1930-10-20,England,Northern Ireland,5,1,British Championship,Sheffield,England,False,England,4
1316,1930-10-25,Scotland,Wales,1,1,British Championship,Glasgow,Scotland,False,Draw,0
1317,1930-10-26,Hungary,Czechoslovakia,1,1,Friendly,Budapest,Hungary,False,Draw,0
1318,1930-10-26,Poland,Latvia,6,0,Friendly,Warsaw,Poland,False,Poland,6
1319,1930-11-02,Germany,Norway,1,1,Friendly,Breslau,Germany,False,Draw,0
1320,1930-11-02,Switzerland,Netherlands,6,3,Friendly,Zürich,Switzerland,False,Switzerland,3
1321,1930-11-16,Austria,Sweden,4,1,Friendly,Vienna,Austria,False,Austria,3
1322,1930-11-16,Bulgaria,Yugoslavia,0,3,Balkan Cup,Sofia,Bulgaria,False,Yugoslavia,3
1323,1930-11-22,Wales,England,0,4,British Championship,Wrexham,Wales,False,England,4
1324,1930-11-30,Portugal,Spain,0,1,Friendly,Porto,Portugal,False,Spain,1
1325,1930-12-07,France,Belgium,2,2,Friendly,Montrouge,France,False,Draw,0
1326,1930-12-07,Greece,Bulgaria,6,1,Balkan Cup,Athens,Greece,False,Greece,5
1327,1931-01-25,Italy,France,5,0,Friendly,Bologna,Italy,False,Italy,5
1328,1931-02-11,Barbados,Martinique,3,2,Friendly,Bridgetown,Barbados,False,Barbados,1
1329,1931-02-12,Barbados,Martinique,0,0,Friendly,Bridgetown,Barbados,False,Draw,0
1330,1931-02-15,France,Czechoslovakia,1,2,Friendly,Colombes,France,False,Czechoslovakia,1
1331,1931-02-21,Northern Ireland,Scotland,0,0,British Championship,Belfast,Northern Ireland,False,Draw,0
1332,1931-02-22,Italy,Austria,2,1,International Cup,Milan,Italy,False,Italy,1
1333,1931-02-28,Barbados,Martinique,1,2,Friendly,Bridgetown,Barbados,False,Martinique,1
1334,1931-03-05,Guyana,Trinidad and Tobago,2,1,Friendly,Georgetown,British Guyana,False,Guyana,1
1335,1931-03-06,Barbados,Trinidad and Tobago,1,5,Friendly,Georgetown,British Guyana,True,Trinidad and Tobago,4
1336,1931-03-08,Guyana,Trinidad and Tobago,0,2,Friendly,Georgetown,British Guyana,False,Trinidad and Tobago,2
1337,1931-03-09,Barbados,Trinidad and Tobago,1,7,Friendly,Georgetown,British Guyana,True,Trinidad and Tobago,6
1338,1931-03-10,Guyana,Barbados,9,0,Friendly,Georgetown,British Guyana,False,Guyana,9
1339,1931-03-14,Guyana,Barbados,7,0,Friendly,Georgetown,British Guyana,False,Guyana,7
1340,1931-03-15,France,Germany,1,0,Friendly,Colombes,France,False,France,1
1341,1931-03-15,Yugoslavia,Greece,4,1,Balkan Cup,Belgrade,Yugoslavia,False,Yugoslavia,3
1342,1931-03-22,Czechoslovakia,Hungary,3,3,International Cup,Prague,Czechoslovakia,False,Draw,0
1343,1931-03-28,Scotland,England,2,0,British Championship,Glasgow,Scotland,False,Scotland,2
1344,1931-03-29,Netherlands,Belgium,3,2,Friendly,Amsterdam,Netherlands,False,Netherlands,1
1345,1931-03-29,Switzerland,Italy,1,1,International Cup,Berne,Switzerland,False,Draw,0
1346,1931-04-05,Curaçao,Aruba,1,0,Friendly,Willemstad,Curaçao,False,Curaçao,1
1347,1931-04-12,Austria,Czechoslovakia,2,1,International Cup,Vienna,Austria,False,Austria,1
1348,1931-04-12,Hungary,Switzerland,6,2,International Cup,Budapest,Hungary,False,Hungary,4
1349,1931-04-12,Portugal,Italy,0,2,Friendly,Porto,Portugal,False,Italy,2
1350,1931-04-19,Paraguay,Argentina,0,1,Friendly,Asunción,Paraguay,False,Argentina,1
1351,1931-04-19,Spain,Italy,0,0,Friendly,Bilbao,Spain,False,Draw,0
1352,1931-04-19,Yugoslavia,Bulgaria,1,0,Balkan Cup,Belgrade,Yugoslavia,False,Yugoslavia,1
1353,1931-04-22,Wales,Northern Ireland,3,2,British Championship,Wrexham,Wales,False,Wales,1
1354,1931-04-25,Paraguay,Argentina,1,1,Friendly,Asunción,Paraguay,False,Draw,0
1355,1931-04-26,Netherlands,Germany,1,1,Friendly,Amsterdam,Netherlands,False,Draw,0
1356,1931-04-26,Spain,Ireland,1,1,Friendly,Barcelona,Spain,False,Draw,0
1357,1931-05-03,Austria,Hungary,0,0,International Cup,Vienna,Austria,False,Draw,0
1358,1931-05-03,Belgium,Netherlands,4,2,Friendly,Antwerp,Belgium,False,Belgium,2
1359,1931-05-10,Romania,Bulgaria,5,2,Balkan Cup,Bucharest,Romania,False,Romania,3
1360,1931-05-14,France,England,5,2,Friendly,Colombes,France,False,France,3
1361,1931-05-16,Austria,Scotland,5,0,Friendly,Vienna,Austria,False,Austria,5
1362,1931-05-16,Belgium,England,1,4,Friendly,Brussels,Belgium,False,England,3
1363,1931-05-20,Italy,Scotland,3,0,Friendly,Rome,Italy,False,Italy,3
1364,1931-05-21,Yugoslavia,Hungary,3,2,Friendly,Belgrade,Yugoslavia,False,Yugoslavia,1
1365,1931-05-24,Germany,Austria,0,6,Friendly,Berlin,Germany,False,Austria,6
1366,1931-05-24,Switzerland,Scotland,2,3,Friendly,Geneva,Switzerland,False,Scotland,1
1367,1931-05-25,Denmark,Norway,3,1,Nordic Championship,Copenhagen,Denmark,False,Denmark,2
1368,1931-05-28,Latvia,Estonia,0,1,Friendly,Riga,Latvia,False,Estonia,1
1369,1931-05-31,Portugal,Belgium,3,2,Friendly,Lisbon,Portugal,False,Portugal,1
1370,1931-06-09,Estonia,Lithuania,4,1,Friendly,Tallinn,Estonia,False,Estonia,3
1371,1931-06-13,Czechoslovakia,Switzerland,7,3,International Cup,Prague,Czechoslovakia,False,Czechoslovakia,4
1372,1931-06-14,Denmark,Netherlands,0,2,Friendly,Copenhagen,Denmark,False,Netherlands,2
1373,1931-06-14,Poland,Czechoslovakia,0,4,Friendly,Warsaw,Poland,False,Czechoslovakia,4
1374,1931-06-16,Austria,Switzerland,2,0,Friendly,Vienna,Austria,False,Austria,2
1375,1931-06-17,Finland,Estonia,3,1,Friendly,Helsinki,Finland,False,Finland,2
1376,1931-06-17,Sweden,Germany,0,0,Friendly,Stockholm,Sweden,False,Draw,0
1377,1931-06-21,Norway,Germany,2,2,Friendly,Oslo,Norway,False,Draw,0
1378,1931-06-28,Sweden,Denmark,3,1,Nordic Championship,Stockholm,Sweden,False,Sweden,2
1379,1931-06-28,Yugoslavia,Romania,2,4,Balkan Cup,Zagreb,Yugoslavia,False,Romania,2
1380,1931-06-30,Latvia,Lithuania,5,2,Friendly,Riga,Latvia,False,Latvia,3
1381,1931-07-03,Sweden,Finland,8,2,Nordic Championship,Stockholm,Sweden,False,Sweden,6
1382,1931-07-04,Argentina,Paraguay,1,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False,Draw,0
1383,1931-07-08,Sweden,Estonia,3,1,Friendly,Sandviken,Sweden,False,Sweden,2
1384,1931-07-09,Argentina,Paraguay,3,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False,Argentina,2
1385,1931-07-26,Sweden,Latvia,6,0,Friendly,Västerås,Sweden,False,Sweden,6
1386,1931-08-02,Yugoslavia,Czechoslovakia,2,1,Friendly,Belgrade,Yugoslavia,False,Yugoslavia,1
1387,1931-08-19,Finland,Latvia,4,0,Friendly,Helsinki,Finland,False,Finland,4
1388,1931-08-23,Poland,Romania,2,3,Friendly,Warsaw,Poland,False,Romania,1
1389,1931-08-26,Lithuania,Romania,2,4,Friendly,Kaunas,Lithuania,False,Romania,2
1390,1931-08-30,Estonia,Lithuania,2,0,Baltic Cup,Tallinn,Estonia,False,Estonia,2
1391,1931-08-31,Latvia,Lithuania,1,0,Baltic Cup,Tallinn,Estonia,True,Latvia,1
1392,1931-09-01,Estonia,Latvia,3,1,Baltic Cup,Tallinn,Estonia,False,Estonia,2
1393,1931-09-06,Brazil,Uruguay,2,0,Copa Rio Branco,Rio de Janeiro,Brazil,False,Brazil,2
1394,1931-09-06,Finland,Norway,4,4,Nordic Championship,Helsinki,Finland,False,Draw,0
1395,1931-09-13,Austria,Germany,5,0,Friendly,Vienna,Austria,False,Austria,5
1396,1931-09-19,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False,Scotland,2
1397,1931-09-20,Hungary,Czechoslovakia,3,0,Friendly,Budapest,Hungary,False,Hungary,3
1398,1931-09-27,Bulgaria,Turkey,5,1,Balkan Cup,Sofia,Bulgaria,False,Bulgaria,4
1399,1931-09-27,Germany,Denmark,4,2,Friendly,Hanover,Germany,False,Germany,2
1400,1931-09-27,Latvia,Estonia,2,1,Friendly,Riga,Latvia,False,Latvia,1
1401,1931-09-27,Norway,Sweden,2,1,Nordic Championship,Oslo,Norway,False,Norway,1
1402,1931-10-02,Turkey,Yugoslavia,2,0,Balkan Cup,Sofia,Bulgaria,True,Turkey,2
1403,1931-10-04,Bulgaria,Yugoslavia,3,2,Balkan Cup,Sofia,Bulgaria,False,Bulgaria,1
1404,1931-10-04,Hungary,Austria,2,2,International Cup,Budapest,Hungary,False,Draw,0
1405,1931-10-11,Belgium,Poland,2,1,Friendly,Brussels,Belgium,False,Belgium,1
1406,1931-10-11,Denmark,Finland,2,3,Nordic Championship,Copenhagen,Denmark,False,Finland,1
1407,1931-10-17,Kenya,Uganda,2,1,Friendly,Nairobi,Kenya,False,Kenya,1
1408,1931-10-17,Northern Ireland,England,2,6,British Championship,Belfast,Northern Ireland,False,England,4
1409,1931-10-25,Bulgaria,Greece,2,1,Balkan Cup,Sofia,Bulgaria,False,Bulgaria,1
1410,1931-10-25,Poland,Yugoslavia,6,3,Friendly,Poznań,Poland,False,Poland,3
1411,1931-10-31,Wales,Scotland,2,3,British Championship,Wrexham,Wales,False,Scotland,1
1412,1931-11-08,Hungary,Sweden,3,1,Friendly,Budapest,Hungary,False,Hungary,2
1413,1931-11-15,Italy,Czechoslovakia,2,2,International Cup,Rome,Italy,False,Draw,0
1414,1931-11-18,England,Wales,3,1,British Championship,Liverpool,England,False,England,2
1415,1931-11-29,France,Netherlands,3,4,Friendly,Colombes,France,False,Netherlands,1
1416,1931-11-29,Greece,Romania,2,4,Balkan Cup,Athens,Greece,False,Romania,2
1417,1931-11-29,Switzerland,Austria,1,8,International Cup,Basel,Switzerland,False,Austria,7
1418,1931-12-05,Northern Ireland,Wales,4,0,British Championship,Belfast,Northern Ireland,False,Northern Ireland,4
1419,1931-12-06,Belgium,Switzerland,2,1,Friendly,Brussels,Belgium,False,Belgium,1
1420,1931-12-09,England,Spain,7,1,Friendly,London,England,False,England,6
1421,1931-12-13,Greece,Hungary,2,4,Friendly,Athens,Greece,False,Hungary,2
1422,1931-12-13,Ireland,Spain,0,5,Friendly,Dublin,Irish Free State,False,Spain,5
1423,1931-12-13,Italy,Hungary,3,2,International Cup,Turin,Italy,False,Italy,1
1424,1932-02-14,Italy,Switzerland,3,0,International Cup,Naples,Italy,False,Italy,3
1425,1932-02-19,Egypt,Hungary,0,0,Friendly,Cairo,Egypt,False,Draw,0
1426,1932-03-06,Germany,Switzerland,2,0,Friendly,Leipzig,Germany,False,Germany,2
1427,1932-03-13,Haiti,Jamaica,4,1,Friendly,Port-au-Prince,Haiti,False,Haiti,3
1428,1932-03-20,Austria,Italy,2,1,International Cup,Vienna,Austria,False,Austria,1
1429,1932-03-20,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False,Netherlands,3
1430,1932-03-20,Czechoslovakia,Hungary,1,3,Friendly,Prague,Czechoslovakia,False,Hungary,2
1431,1932-03-20,Haiti,Jamaica,0,1,Friendly,Port-au-Prince,Haiti,False,Jamaica,1
1432,1932-03-20,Switzerland,France,3,3,Friendly,Berne,Switzerland,False,Draw,0
1433,1932-03-23,Dominica,Martinique,1,0,Friendly,Roseau,Dominica,False,Dominica,1
1434,1932-03-27,Greece,Bulgaria,1,2,Friendly,Athens,Greece,False,Bulgaria,1
1435,1932-03-30,Greece,Bulgaria,2,2,Friendly,Athens,Greece,False,Draw,0
1436,1932-04-09,England,Scotland,3,0,British Championship,London,England,False,England,3
1437,1932-04-10,France,Italy,1,2,Friendly,Colombes,France,False,Italy,1
1438,1932-04-15,Guyana,Trinidad and Tobago,1,0,Friendly,Bridgetown,Barbados,True,Guyana,1
